,ACC,NMI,PUR,p,nw,typeweak
17,0.8038095238095238,0.7347057001018813,0.8047619047619048,0.595,95,mcles
8,0.799047619047619,0.7367358644483636,0.8076190476190476,0.595,50,mcles
4,0.7952380952380953,0.7343188142407368,0.8076190476190476,0.595,30,mcles
14,0.7933333333333332,0.7381476349068985,0.8019047619047619,0.595,80,mcles
16,0.7914285714285715,0.7313890802934555,0.8,0.595,90,mcles
18,0.7895238095238095,0.7331864928374181,0.800952380952381,0.595,100,mcles
15,0.7885714285714286,0.7281527807034696,0.7942857142857143,0.595,85,mcles
0,0.7876190476190476,0.7281557379702238,0.797142857142857,0.595,10,mcles
11,0.7838095238095238,0.7182204783822559,0.7942857142857143,0.595,65,mcles
1,0.7838095238095237,0.736249706624167,0.7980952380952381,0.595,15,mcles
12,0.7838095238095237,0.7195856154281975,0.7914285714285713,0.595,70,mcles
2,0.7809523809523811,0.725231482772592,0.7885714285714286,0.595,20,mcles
13,0.78,0.7372428543654718,0.7980952380952381,0.595,75,mcles
10,0.7780952380952381,0.7236477830719774,0.7961904761904761,0.595,60,mcles
9,0.7780952380952381,0.7178134393023028,0.7895238095238095,0.595,55,mcles
7,0.7742857142857142,0.7143511252101048,0.7866666666666666,0.595,45,mcles
6,0.7685714285714285,0.7148944961534746,0.7838095238095237,0.595,40,mcles
5,0.7676190476190475,0.7185979973360495,0.7904761904761906,0.595,35,mcles
3,0.7628571428571428,0.7261243650833598,0.7838095238095238,0.595,25,mcles
