,ACC,NMI,PUR,p,nw,typeweak
11,0.6261904761904762,0.6556399264310445,0.6333333333333334,0.55,95,mvgl
5,0.6185714285714285,0.6550318163953376,0.6299999999999999,0.55,65,mvgl
12,0.6171428571428571,0.6545771247832505,0.6233333333333333,0.55,100,mvgl
6,0.6123809523809525,0.6454021014459402,0.6223809523809525,0.55,70,mvgl
7,0.6123809523809524,0.6494935025790831,0.618095238095238,0.55,75,mvgl
8,0.6114285714285714,0.6500569589876032,0.6285714285714286,0.55,80,mvgl
1,0.6071428571428571,0.6326410126369081,0.6142857142857142,0.55,45,mvgl
4,0.6038095238095238,0.6325375570892728,0.6147619047619047,0.55,60,mvgl
10,0.6023809523809524,0.6404116741225162,0.6185714285714285,0.55,90,mvgl
3,0.5976190476190476,0.6296892418262147,0.6166666666666666,0.55,55,mvgl
18,0.5976190476190476,0.6196057821542736,0.6147619047619047,0.55,35,mvgl
9,0.5928571428571427,0.6356047653830518,0.6219047619047618,0.55,85,mvgl
15,0.5909523809523809,0.6069747272403664,0.6204761904761905,0.55,20,mvgl
0,0.5799999999999998,0.6125939169358542,0.6,0.55,40,mvgl
2,0.5790476190476189,0.6129081592339054,0.590952380952381,0.55,50,mvgl
16,0.5776190476190477,0.601403274402816,0.5952380952380952,0.55,25,mvgl
17,0.5757142857142857,0.6171922073548535,0.6152380952380953,0.55,30,mvgl
14,0.5738095238095238,0.5734463259977998,0.6109523809523809,0.55,15,mvgl
13,0.5514285714285714,0.5395124069180361,0.5752380952380953,0.55,10,mvgl
