,ACC,NMI,PUR,p,nw,typeweak
1,0.8038095238095238,0.7273984340856521,0.8038095238095238,0.55,100,mcles
3,0.800952380952381,0.7441505037399098,0.8066666666666666,0.6500000000000001,100,mcles
6,0.7952380952380952,0.7501299635899664,0.8095238095238095,0.8000000000000003,100,mcles
2,0.7942857142857143,0.7278150198282278,0.799047619047619,0.6000000000000001,100,mcles
0,0.7923809523809524,0.7204735626618559,0.7933333333333333,0.5,100,mcles
5,0.7838095238095237,0.7403066263898547,0.800952380952381,0.7500000000000002,100,mcles
8,0.7828571428571429,0.7528512329759176,0.800952380952381,0.9000000000000004,100,mcles
4,0.7828571428571428,0.7329771120270943,0.799047619047619,0.7000000000000002,100,mcles
7,0.7742857142857142,0.7478309884872661,0.7961904761904762,0.8500000000000003,100,mcles
9,0.7638095238095238,0.7448237005250965,0.7961904761904762,0.9500000000000004,100,mcles
