,ACC,NMI,PUR,p,nw,typeweak
0,0.6295238095238095,0.6360144489751618,0.6314285714285715,0.5,80,mvgl
9,0.6009523809523809,0.5963732624671497,0.6580952380952381,0.9500000000000004,80,mvgl
1,0.5961904761904762,0.6352113713590437,0.6314285714285715,0.55,80,mvgl
8,0.5942857142857143,0.602893762467037,0.6514285714285714,0.9000000000000004,80,mvgl
3,0.5914285714285714,0.6318126542206465,0.6361904761904762,0.6500000000000001,80,mvgl
2,0.5895238095238095,0.6510770270366618,0.6238095238095238,0.6000000000000001,80,mvgl
7,0.5866666666666667,0.6089361447091265,0.6447619047619046,0.8500000000000003,80,mvgl
4,0.58,0.625958447636439,0.6371428571428571,0.7000000000000002,80,mvgl
6,0.579047619047619,0.6301911473695389,0.6361904761904762,0.8000000000000003,80,mvgl
5,0.5761904761904761,0.6197293791976459,0.6314285714285715,0.7500000000000002,80,mvgl
