,ACC,NMI,PUR,p,nw,typeweak
21,0.8066666666666666,0.7525573524656631,0.8152380952380952,0.7500000000000002,80,mcles
18,0.8052380952380952,0.7465073452207712,0.8133333333333332,0.7000000000000002,120,mcles
15,0.8052380952380952,0.7445114179814039,0.8099999999999999,0.6500000000000001,160,mcles
9,0.8052380952380952,0.7417186681527058,0.8085714285714285,0.6000000000000001,80,mcles
19,0.8028571428571428,0.7448972644513687,0.8123809523809523,0.7000000000000002,160,mcles
6,0.8023809523809524,0.7325410805480626,0.8028571428571428,0.55,120,mcles
16,0.8019047619047619,0.7433541041668458,0.8057142857142857,0.7000000000000002,40,mcles
27,0.799047619047619,0.7545560944224732,0.8133333333333332,0.8000000000000003,160,mcles
22,0.7976190476190477,0.748362966465558,0.8071428571428572,0.7500000000000002,120,mcles
23,0.7952380952380953,0.749334908361432,0.8076190476190476,0.7500000000000002,160,mcles
2,0.7952380952380953,0.7279092722998423,0.7985714285714286,0.5,120,mcles
1,0.7952380952380953,0.7233014243780098,0.7976190476190477,0.5,80,mcles
14,0.7947619047619048,0.7362391642441765,0.8028571428571428,0.6500000000000001,120,mcles
11,0.7947619047619048,0.7333636790802701,0.8047619047619048,0.6000000000000001,160,mcles
20,0.7942857142857143,0.7432429070395061,0.8028571428571428,0.7500000000000002,40,mcles
10,0.7933333333333333,0.7340134397843338,0.800952380952381,0.6000000000000001,120,mcles
25,0.7928571428571429,0.7526675358827577,0.809047619047619,0.8000000000000003,80,mcles
12,0.7928571428571428,0.7374798301432236,0.8038095238095238,0.6500000000000001,40,mcles
26,0.7919047619047619,0.7498146523794215,0.8061904761904761,0.8000000000000003,120,mcles
13,0.790952380952381,0.7396305182527,0.8033333333333333,0.6500000000000001,80,mcles
17,0.7904761904761906,0.7462619527384431,0.8066666666666666,0.7000000000000002,80,mcles
5,0.789047619047619,0.7254250151562549,0.7947619047619048,0.55,80,mcles
24,0.7861904761904762,0.7425455138163204,0.8033333333333333,0.8000000000000003,40,mcles
7,0.7852380952380953,0.7220269074120529,0.7914285714285715,0.55,160,mcles
3,0.7847619047619048,0.7245067419398046,0.7942857142857143,0.5,160,mcles
31,0.7842857142857143,0.7480551864794209,0.8014285714285714,0.8500000000000003,160,mcles
30,0.7838095238095238,0.7452580757427231,0.8014285714285714,0.8500000000000003,120,mcles
29,0.7833333333333334,0.746383745856508,0.8014285714285714,0.8500000000000003,80,mcles
0,0.7833333333333334,0.719560282380664,0.7895238095238095,0.5,40,mcles
4,0.7814285714285714,0.7254509813319987,0.7957142857142856,0.55,40,mcles
35,0.7809523809523808,0.753364893887975,0.8014285714285714,0.9000000000000004,160,mcles
32,0.778095238095238,0.7479154320860959,0.7995238095238095,0.9000000000000004,40,mcles
8,0.7757142857142856,0.7260050326460832,0.7890476190476191,0.6000000000000001,40,mcles
34,0.7723809523809523,0.7432736263359838,0.7952380952380953,0.9000000000000004,120,mcles
33,0.7704761904761904,0.7411719903382519,0.7933333333333333,0.9000000000000004,80,mcles
28,0.769047619047619,0.7350476058233886,0.7923809523809524,0.8500000000000003,40,mcles
